home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession
10,0,1,1,4,6,1,0,2,0,11,10,5,5,6,5,12,13,55,67
31,21,1,1,4,4,0,0,2,0,11,8,5,4,6,4,11,14,54,50
27,22,2,2,6,5,0,0,1,0,13,8,6,4,7,3,9,17,73,43
6,7,2,0,4,4,2,0,1,0,11,8,4,4,7,3,17,11,53,42
3,15,1,1,8,4,1,0,1,0,15,12,8,5,7,7,9,12,61,53
2,14,3,1,5,4,1,0,1,0,14,8,8,5,6,3,14,9,54,57
28,29,1,1,4,5,1,0,2,0,10,10,5,4,5,5,14,13,38,57
4,9,1,2,3,5,1,0,0,0,6,12,4,6,2,5,13,10,51,55
31,10,1,1,4,4,0,0,1,0,11,11,5,5,6,6,11,12,54,55
3,2,1,3,8,5,1,0,1,0,15,14,8,8,7,6,9,14,61,54
28,9,1,2,4,5,1,0,0,0,10,12,5,6,5,5,14,10,38,55
22,6,2,2,5,4,1,0,2,0,8,11,4,4,3,7,17,17,43,53
10,2,1,3,4,5,1,0,1,0,11,14,5,8,6,6,12,14,55,54
6,9,2,2,4,5,2,0,0,0,11,12,4,6,7,5,17,10,53,55
2,9,3,2,5,5,1,0,0,0,14,12,8,6,6,5,14,10,54,55
10,6,1,2,4,4,1,0,2,0,11,11,5,4,6,7,12,17,55,53
