home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,winner
25,29,1,2,3,1,1,0,3,7,4,0,1,0,3,1,0,1,12,13,4,6,8,7,17,13,37,63,1.5,6.0,5.0,2.7,2.95,2.85,1.53,2.6,5.2,10.0,2.15,1.62,29.0
2,30,5,2,7,4,3,1,5,2,0,0,1,0,0,0,1,0,21,14,13,6,8,8,12,13,49,51,3.0,11.0,3.0,1.34,5.05,12.5,1.29,1.91,3.25,6.0,2.15,1.61,2.0
26,15,1,2,3,1,0,1,7,5,4,0,0,0,0,4,0,0,9,13,7,6,2,7,24,7,41,59,1.0,6.0,4.0,5.75,3.55,1.77,1.45,2.4,4.65,7.0,2.2,1.59,15.0
11,28,2,1,3,1,0,1,8,3,1,1,2,0,0,2,0,2,12,7,7,6,5,1,12,13,75,25,1.0,14.0,3.0,1.56,4.45,6.9,1.19,1.65,2.55,4.5,1.71,2.0,11.0
9,18,6,1,7,5,5,0,3,2,1,0,3,0,1,0,2,1,10,8,8,3,2,5,13,13,59,41,3.0,10.0,6.0,1.24,6.8,14.75,1.24,1.77,2.95,5.5,2.45,1.48,9.0
14,24,2,2,4,2,1,1,2,5,2,0,3,0,0,2,0,3,6,13,4,8,2,5,8,15,56,44,3.0,9.0,3.0,3.35,3.2,2.45,1.43,2.3,4.4,9.0,1.95,1.74,14.0
20,4,0,3,3,1,0,1,7,5,2,0,0,0,0,2,0,0,5,10,3,5,2,5,15,10,45,55,3.0,6.0,5.0,3.3,3.3,2.4,1.43,2.3,4.4,7.5,1.95,1.77,4.0
31,22,3,0,3,2,2,0,4,2,1,0,2,1,0,1,3,0,13,3,7,2,6,1,17,18,57,43,2.75,10.5,1.0,2.8,3.05,2.9,1.43,2.35,4.1,12.0,2.0,1.71,31.0
23,8,2,1,3,2,1,1,7,2,0,0,2,0,0,0,1,1,19,7,9,2,10,5,7,16,64,36,2.75,5.0,2.0,4.85,3.55,1.83,1.31,1.95,3.5,9.8,1.87,1.83,23.0
13,21,1,1,2,1,0,1,1,5,2,0,4,0,0,2,1,3,7,12,3,5,4,7,16,11,26,74,2.25,6.5,3.5,6.4,3.85,1.67,1.43,2.35,4.45,7.0,2.3,1.56,13.0
27,16,2,2,4,2,1,1,7,1,0,0,6,0,0,0,4,2,18,6,6,4,12,2,5,17,74,26,2.25,11.5,1.5,1.36,5.1,10.75,1.23,1.71,2.8,4.5,2.0,1.71,16.0
7,10,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,4,11,3,4,1,7,10,10,32,68,1.75,10.0,3.5,5.2,2.75,2.1,1.49,2.5,4.9,9.0,2.1,1.67,7.0
1,19,0,2,2,1,0,1,8,3,4,0,2,0,1,3,1,1,10,5,3,4,7,1,14,12,57,43,1.75,6.0,3.0,3.35,3.55,2.25,1.3,1.95,3.35,6.5,1.77,1.95,19.0
17,0,1,2,3,1,0,1,3,5,2,0,3,0,1,1,0,3,9,7,4,5,5,2,20,15,33,67,2.25,13.0,2.5,6.2,4.7,1.54,1.2,1.67,2.65,4.33,1.77,1.95,0.0
12,6,1,2,3,0,0,0,10,5,3,0,2,0,0,3,1,1,15,11,7,3,8,8,10,11,38,62,2.25,7.5,3.0,3.4,3.35,2.2,1.38,2.15,4.05,7.5,1.91,1.77,6.0
26,11,2,0,2,0,0,0,3,9,4,0,0,0,2,2,0,0,11,20,6,7,5,13,16,7,26,74,2.0,14.0,5.0,15.0,7.25,1.16,1.12,1.41,2.0,3.5,1.91,1.8,26.0
15,28,0,3,3,0,0,0,7,3,3,0,2,0,1,2,1,1,12,15,4,6,8,9,14,11,66,34,2.0,7.5,2.5,2.3,3.4,3.4,1.35,2.1,3.8,7.0,1.87,1.83,28.0
25,3,0,2,2,1,0,1,5,9,3,0,0,0,1,2,0,0,8,10,3,7,5,3,13,7,42,58,2.0,11.5,4.5,6.0,4.2,1.62,1.21,1.67,2.7,4.5,1.69,2.05,3.0
29,5,2,2,4,1,1,0,6,5,3,0,3,0,1,2,2,1,10,13,4,7,6,6,9,14,62,38,2.0,7.5,3.5,1.59,3.6,6.5,1.35,2.05,3.75,7.0,2.1,1.65,29.0
14,20,0,1,1,0,0,0,5,7,1,0,0,0,0,1,0,0,8,8,4,3,4,5,11,8,54,46,3.25,9.0,3.0,2.9,3.1,2.8,1.37,2.15,3.95,7.5,1.83,1.87,20.0
24,4,0,1,1,0,0,0,1,3,1,0,1,0,0,1,1,0,8,4,4,3,4,1,15,15,40,60,3.25,8.0,4.5,4.5,3.7,1.91,1.33,2.0,3.6,7.0,1.87,1.83,4.0
9,2,0,1,1,0,0,0,7,2,0,0,2,0,0,0,2,0,9,8,3,5,6,3,11,14,46,54,5.0,12.0,2.5,2.7,2.9,3.1,1.45,2.4,4.65,10.0,1.95,1.77,2.0
18,30,1,2,3,1,1,0,0,6,3,0,3,0,0,3,1,2,9,12,5,7,4,5,18,19,30,70,5.0,4.5,4.5,4.95,3.7,1.83,1.25,1.8,3.0,6.5,1.69,2.05,30.0
10,0,4,3,7,2,1,1,0,4,3,0,5,0,0,3,3,2,9,6,5,5,4,1,21,15,39,61,2.0,10.67,3.0,2.4,3.0,3.4,1.53,2.65,5.3,9.5,2.05,1.67,10.0
31,21,2,1,3,1,1,0,2,10,0,0,1,0,0,0,0,1,6,14,4,6,2,8,13,13,32,68,2.34,8.67,2.33,3.0,2.8,2.9,1.65,3.0,6.3,15.0,2.35,1.51,31.0
27,22,1,1,2,2,1,1,6,5,1,0,2,0,1,0,0,2,17,6,10,2,7,4,5,19,78,22,3.84,11.0,2.0,1.56,4.1,6.4,1.28,1.87,3.2,6.0,1.91,1.8,22.0
6,7,1,1,2,2,1,1,5,4,0,0,1,0,0,0,0,1,14,13,7,4,7,9,5,19,53,47,1.84,9.0,4.34,2.05,3.2,4.6,1.53,2.6,5.2,13.0,2.15,1.61,7.0
3,15,2,0,2,0,0,0,8,7,2,0,4,0,1,1,1,3,17,7,11,2,6,5,6,17,48,52,2.17,12.66,2.67,1.5,4.35,8.0,1.29,1.91,3.25,6.5,2.0,1.71,3.0
2,14,3,2,5,0,0,0,10,6,0,0,1,0,0,0,1,0,18,9,9,5,9,4,13,9,57,43,3.17,9.66,3.0,1.38,5.05,9.75,1.25,1.8,3.0,6.0,2.0,1.71,2.0
28,29,1,0,1,0,0,0,3,11,1,0,2,1,1,0,0,3,10,9,4,5,6,4,11,13,32,68,2.67,9.0,4.0,3.35,2.95,2.6,1.57,2.75,5.65,10.5,2.2,1.59,28.0
4,9,1,1,2,0,0,0,2,7,6,0,2,0,1,5,0,2,12,12,5,3,7,9,23,13,47,53,3.0,9.34,2.34,4.0,3.25,2.15,1.51,2.55,5.1,10.5,2.15,1.62,4.0
31,10,0,2,2,1,0,1,4,3,2,0,2,0,1,1,1,1,11,11,5,3,6,8,17,15,38,62,2.38,6.5,1.75,4.55,3.15,2.05,1.59,2.75,5.75,13.0,2.3,1.56,10.0
3,2,1,2,3,2,0,2,8,4,2,0,2,0,0,2,0,2,17,8,10,4,7,4,14,16,58,42,3.0,14.75,2.5,2.15,3.55,3.8,1.25,1.77,2.95,5.5,1.62,2.15,2.0
28,9,0,2,2,1,0,1,1,6,2,0,1,0,0,2,0,1,6,7,4,3,2,4,10,7,42,58,2.63,9.75,2.5,5.3,3.3,1.95,1.48,2.45,4.8,10.0,2.15,1.62,9.0
22,6,2,2,4,2,1,1,6,8,1,0,4,0,0,1,2,2,13,15,6,4,7,11,25,18,35,65,3.0,9.5,3.75,4.3,3.25,2.05,1.5,2.5,5.0,12.0,2.1,1.65,22.0
10,2,1,0,1,0,0,0,4,5,2,0,3,0,0,2,0,3,14,9,6,4,8,5,6,16,36,64,3.2,9.0,3.0,2.45,3.3,3.2,1.33,2.0,3.6,6.5,1.71,2.0,10.0
6,9,2,1,3,1,0,1,8,4,2,0,1,0,0,2,0,1,19,9,8,3,11,6,23,14,55,45,2.9,11.2,3.4,3.45,3.05,2.35,1.49,2.5,4.9,15.0,2.05,1.69,6.0
2,9,2,0,2,1,1,0,4,5,1,0,2,0,0,1,0,2,8,14,5,7,3,7,11,4,42,58,3.17,11.5,2.67,2.3,3.75,3.1,1.2,1.62,2.6,6.5,1.56,2.3,2.0
10,6,4,2,6,3,2,1,2,6,2,0,1,0,2,0,0,1,7,14,7,5,0,9,13,13,34,66,2.58,8.84,4.0,2.0,3.25,4.55,1.57,2.75,5.65,15.0,2.25,1.57,10.0
